trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.5, 'e': 0.2698420861440768}",20,12,13.77716611860756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.2678182704979962}",20,10,-23.644517139638868,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.2658096334692613}",20,8,2.900384718752666,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.26381606121824186}",25,17,15.170716550796925,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.26183744075910503}",25,11,-30.603967659674026,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.2598736599534118}",20,15,-0.8834643561565971,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.25792460750376117}",30,0,-74.03610878361755,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
181,False,"{'a': 0.5, 'e': 0.255990172947483}",25,16,11.507646307260952,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.25407024665037686}",30,10,-1.1119649929984365,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.2521647198004991}",25,5,34.98370087092014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.2502734844019953}",25,12,22.055136082723887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.2483964332689804}",30,12,23.099075019588632,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.24653346001946305}",25,14,15.680085865517956,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.24468445906931707}",20,6,23.526969151407222,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.2428493256262972}",20,0,6.09954916620948,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
189,False,"{'a': 0.5, 'e': 0.24102795568410001}",30,15,16.977914883279762,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.23922024601646927}",20,3,6.324940477850905,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.23742609417134575}",25,5,26.994813207295156,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.23564539846506066}",30,8,27.670190948584533,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.23387805797657274}",25,11,12.82728703761921,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.23212397254174844}",25,0,30.903034243652016,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
195,False,"{'a': 0.5, 'e': 0.23038304274768534}",20,5,26.966085724197846,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.2286551699270777}",20,16,6.642111982273298,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.22694025615262464}",25,16,14.264933068350151,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.22523820423147997}",20,10,3.1456501828317482,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.2235489176997439}",20,8,2.0894014660241647,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.22187230081699583}",20,14,13.91091836513934,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.22020825856086837}",35,13,-21.5821610350569,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.21855669662166186}",20,3,3.222329564083995,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
